"waterbody","date","dateNUTR","year","town","latitude","longitude","state","data_source","mult_survey","off_season","surfacearea_ha","surfaceaarea_sqm","perimeter_m","shoreline_development","depth_max_m","depth_avg_m","forested_shoreline_prop","inflow","outflow","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","regime","azolla_cover_prop","lminor_cover_prop","lvaldiviana_cover_prop","ltrisulca_cover_prop","riccia_cover_prop","spolyrhiza_cover_prop","wolffia_cover_prop","wbrasiliensis_cover_prop","wborealis_cover_prop","TOTP_n","TOTP_avg","TOTP_SE","PO4_n","PO4_avg","PO4_SE","TOTN_n","TOTN_avg","TOTN_SE","NO3_n","NO3_avg","NO3_SE","NH4_n","NH4_avg","NH4_SE","totNtotP_n","totNtotP_avg","totNtotP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","notes","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"116 Old Field Road Pond","combined","3/6/2012","comb","Old Field",40.9624,73.1285,"NY","MJM","Y","N",0.4,3968,231.99,1.039,1,NA,0.9551,0,0,"Y",1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,2,0,"FP",0,0.91353,0,0,0,0,0,0.07435,0,4,0.38664,0.02331,3,2.2687,0.42656,4,0.93713,0.37824,3,0.0607,0.01976,3,0.19761,0.04654,NA,"2.4238",NA,4,6.515208333,0.239004101,4,116.4416667,39.21959633,3,10.43333333,6.463773694,3,19.8,5.001370183,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angus Park Pond","8/4/2005","8/4/2005","2005","Glastonbury",41.693,72.5318,"CT","CAES","N","N",3.8,37603.035,1081.61,1.573,1.2,NA,0.8306,1,0,"Y",0.1857,0.2616,0.2616,0.1099,0,0,1,0,0,0,1,0,0,0,12,2,10,"SAV",0,0.10987,0,0,0,0,0,0,0,2,0.039,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.2,0,2,126.5,2.5,1,6.6,NA,1,23.9,NA,2,30.75,0,1,1.2,NA,"",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anni's Pond (Kleman's Dam)","6/20/2011","6/20/2011","2011","Bethany",41.4551,72.995,"CT","CAES","N","N",2.19,20327.33,653.71,1.293,3.5,NA,0.9541,0,0,"Y",0.0014,0.0014,0.0014,0.0014,0,0,1,0,0,0,0,0,0,0,19,1,18,"SAV",0,0.00142,0,0,0,0,0,0,0,2,0.0195,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,5.95,0.05,2,129.5,3.5,1,5.2,NA,1,23.6,NA,2,131.25,3.75,1,2,NA,"",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ball Pond","8/17/2005","8/17/2005","2005","New Fairfield",41.4626,73.5238,"CT","CAES","N","N",33.39,328870.947,2946.56,1.449,15.545,7.315,0.3011,1,0,"Y",0.005,0.005,0.005,0.005,0,0,1,0,0,0,0,0,0,0,10,1,9,"SAV",0,0.005,0,0,0,0,0,0,0,2,0.1845,0.1515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,6.95,0.65,2,262.5,5.5,1,8.3,NA,1,27.2,NA,2,58.13,0.375,1,2,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaver Pond","7/31/2013","7/31/2013","2013","Meriden",41.5686,72.7869,"CT","CAES","N","N",12.23,122332.15,1688.86,1.362,3,NA,NA,NA,NA,"Y",0.0024,0.0024,0.0024,0.0024,0,0,1,0,0,0,1,0,0,0,15,2,13,"SAV",0,0.001018538,0,0,0,0.001410995,0,0,0,2,0.0476,0.0364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.5,1,2,318.5,57.5,1,10.8,NA,1,28,NA,2,89.25,27,2,NA,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Beeslick Lake","6/27/2012","6/27/2012","2012","Salisbury",41.9242,73.4341,"CT","CAES","N","N",10.93,108348.833,1364.39,1.169,4.65,NA,0,1,0,"Y",6e-04,6e-04,6e-04,6e-04,0,0,1,0,0,0,1,0,0,0,13,2,11,"SAV",0,0.00027,0,0,0,9e-05,0,0.00027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,10.6,NA,1,25.5,NA,NA,NA,NA,1,1.3,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Beseck Lake","combined","6/28/2011","comb","Middletown",41.3014,72.4317,"CT","CAES","Y","N",45.73,483590.92,3995.29,1.621,7.315,3.658,0.3336,NA,NA,"Y",4e-04,4e-04,4e-04,4e-04,0,0,1,0,0,0,0,1,0,0,22,2,20,"SAV",0,0.00021,0,0,0,0,0.00015,0,0,2,0.032,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,7.25,0.15,2,125.75,8.25,2,0.05065,0.04915,2,25.1,0.6,2,44.25,6,2,2.75,0.25,"",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Betty Allen Twin Pond","combined","2/28/2012","comb","Northport",40.8842,73.3612,"NY","MJM","Y","N",0.59,5851.077,322.17,1.188,1.524,NA,1,1,1,"Y",0.3781,0.3781,0.813,0.0911,0,0,1,0,0,0,1,0,0,1,3,3,0,"shift",0,0.07154,0,0,0,0.00881,0,0.23633,0,4,0.01972,9e-04,5,0.03711,0.012160898,4,1.16005,0.23148,5,1.18322,0.311130923,5,0.06006,0.010672627,NA,"58.8155",NA,5,7.25,0.177089314,5,218.2,5.406824391,4,7.13125,1.811346616,4,25.3375,2.159776705,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birch Pond","combined","7/13/2012","comb","Darien",41.0906,73.4637,"CT","CAES/MJM","Y","N",0.27,2674.888,205.48,1.121,1,NA,0.72,0,1,"Y",0.5548,0.1987,0.9109,0.1043,0,0,1,0,0,0,1,0,0,0,2,2,0,"shift",0,0.50759,0,0,0,0,0,0,0,3,0.18371,0.08868,NA,NA,NA,3,1.49679,0.46453,NA,NA,NA,NA,NA,NA,NA,"9.3139",NA,3,6.96778,0.89395,3,236.44444,32.73368,2,3.65,0.55,2,23.65,0.45,2,46.88,13.5,1,0.4,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bishops Pond (Research Parkway)","9/13/2013","9/13/2013","2013","Meriden",41.507549,72.766059,"CT","MJM","N","N",4.7394,47394,1104.5,1.431,1.5,NA,0.6299,0,1,"Y",0.3,0.3,0.3,0.3,0,0,1,0,0,0,0,0,0,1,11,2,9,"SAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.03004,NA,NA,NA,NA,1,0.34927,NA,NA,NA,NA,NA,NA,NA,NA,"11.6261",NA,NA,NA,NA,1,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qualitative estimate of FP cover; no data on FP species % composition; used regression of nonFPrich ~ sa to estimate SAV richness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
